iter	MultiClass
0	2.393646498
1	2.162814845
2	1.995834687
3	1.857561207
4	1.750777098
5	1.66072078
6	1.582450558
7	1.511517239
8	1.45095359
9	1.398630252
10	1.347635708
11	1.30235776
12	1.265513293
13	1.23066622
14	1.201202037
15	1.171985759
16	1.147344125
17	1.125804415
18	1.106756357
19	1.088129098
20	1.067750388
21	1.04991625
22	1.035407142
23	1.020071806
24	1.008823562
25	0.9949139505
26	0.9836339385
27	0.9750202739
28	0.9623987699
29	0.9467532806
30	0.9341900949
31	0.9247358284
32	0.915915411
33	0.9071476498
34	0.8993988469
35	0.8936621973
36	0.8879450599
37	0.8799362527
38	0.8736995241
39	0.8660589651
40	0.8613140014
41	0.8524776925
42	0.8470298285
43	0.8415206336
44	0.834409691
45	0.8293138735
46	0.8253536286
47	0.8215839116
48	0.8182528684
49	0.8144294842
50	0.8087835275
51	0.8047742743
52	0.799640499
53	0.79792948
54	0.7929066462
55	0.7890844709
56	0.7878832461
57	0.785555615
58	0.782746898
59	0.7800501094
60	0.7765954535
61	0.7753283555
62	0.7728481765
63	0.7708254873
64	0.7671689837
65	0.7641267177
66	0.7587557315
67	0.7553542814
68	0.750508437
69	0.7484776217
70	0.7468878806
71	0.7430749898
72	0.7406771804
73	0.7391904979
74	0.7381054083
75	0.7364008947
76	0.7351307558
77	0.7317674966
78	0.7305901935
79	0.7286180707
80	0.726713467
81	0.7244999262
82	0.7217495921
83	0.7180021733
84	0.7142564427
85	0.7131322198
86	0.7122531767
87	0.7102516517
88	0.7074235623
89	0.7056797614
90	0.7044799244
91	0.7026011938
92	0.7010935637
93	0.6991226376
94	0.6971129092
95	0.6959599205
96	0.6946896844
97	0.6934542376
98	0.6924250106
99	0.689769411
100	0.6891431181
101	0.6865970359
102	0.6847787309
103	0.6842686274
104	0.6832269436
105	0.6803239668
106	0.6796414144
107	0.6787383075
108	0.6781830223
109	0.6776658037
110	0.6762202093
111	0.6752854523
112	0.6744940277
113	0.6739571413
114	0.6735610448
115	0.6721540572
116	0.6713684669
117	0.6696297312
118	0.6677685443
119	0.6667101869
120	0.6661810439
121	0.6655966676
122	0.6651579092
123	0.6646742547
124	0.6639056406
125	0.6633468695
126	0.6627400268
127	0.6623836984
128	0.6620976869
129	0.6617942543
130	0.6606201338
131	0.6599887705
132	0.6572037906
133	0.6567087291
134	0.6564948472
135	0.6562881297
136	0.6546182503
137	0.654216352
138	0.6522207465
139	0.6519796829
140	0.6505190088
141	0.6488406975
142	0.6471523912
143	0.6447504338
144	0.6437941907
145	0.641928007
146	0.6416762332
147	0.640079082
148	0.6395308565
149	0.6391732942
150	0.6388592643
151	0.6382952181
152	0.6366785045
153	0.6363649445
154	0.6348909133
155	0.6328000762
156	0.6316070229
157	0.6308789241
158	0.6303063448
159	0.6297054184
160	0.6292863027
161	0.6289254073
162	0.6282965985
163	0.6259353154
164	0.624818499
165	0.6235356977
166	0.6219949494
167	0.6216776118
168	0.6207801151
169	0.6204096855
170	0.6201027121
171	0.6189269336
172	0.6187813698
173	0.6181236965
174	0.6178141703
175	0.6174518551
176	0.6170436121
177	0.6165836285
178	0.6163943389
179	0.6160011097
180	0.6149699332
181	0.6146689497
182	0.6130337666
183	0.6127578319
184	0.6124778932
185	0.611864624
186	0.6115545404
187	0.6113159942
188	0.6087378324
189	0.6085255497
190	0.6080492333
191	0.6078027138
192	0.6075498269
193	0.6066054133
194	0.606421912
195	0.6059758744
196	0.6058511021
197	0.605641182
198	0.605184026
199	0.6049998917
200	0.6039947298
201	0.6035611263
202	0.602265134
203	0.600765131
204	0.5987988195
205	0.5986230913
206	0.5977140495
207	0.5973619267
208	0.5971060782
209	0.5967612087
210	0.5956577232
211	0.5954102083
212	0.5949909456
213	0.5947333217
214	0.5943474487
215	0.5941445013
216	0.5939263982
217	0.5937768813
218	0.5924256312
219	0.5906534815
220	0.5903405085
221	0.5902068993
222	0.589909926
223	0.5897317386
224	0.589408405
225	0.5890223616
226	0.5888544801
227	0.588473433
228	0.588250092
229	0.5881468186
230	0.5873924518
231	0.5854813538
232	0.5853596731
233	0.5852244547
234	0.5845220791
235	0.5841665388
236	0.5839692834
237	0.5838895895
238	0.583735141
239	0.582934915
240	0.5821616991
241	0.5812831995
242	0.5811193811
243	0.5808400698
